Prefix	Species name
ENSETE	Echinops telfairi (Lesser hedgehog tenrec)
ENSCAF	Canis lupus dingo (Dingo)
ENSRNO	Rattus norvegicus (Rat - SHRSP/BbbUtx)
ENSOAR	Ovis aries (Sheep)
ENSDNV	Dromaius novaehollandiae (Emu)
ENSPTE	Piliocolobus tephrosceles (Ugandan red Colobus)
ENSSMR	Salvator merianae (Argentine black and white tegu)
ENSOPR	Ochotona princeps (Pika)
ENSBIX	Bos indicus x Bos taurus (Hybrid - Bos Taurus)
MGP_AJ_	Mus musculus (Mouse A/J)
ENSPMA	Petromyzon marinus (Lamprey)
MGP_CAROLIEiJ_	Mus caroli (Ryukyu mouse)
ENSBBB	Bison bison bison (American bison)
ENSACI	Amphilophus citrinellus (Midas cichlid)
ENSPCL	Phasianus colchicus (Ring-necked pheasant)
ENSACC	Aquila chrysaetos chrysaetos (Golden eagle)
ENSAOC	Amphiprion ocellaris (Clown anemonefish)
ENSCCR	Cyprinus carpio (Common carp german mirror)
ENSAMX	Astyanax mexicanus (Mexican tetra)
ENSMMS	Moschus moschiferus (Siberian musk deer)
ENSCPO	Cavia porcellus (Guinea Pig)
ENSSSC	Sus scrofa (Pig)
ENSVUR	Vombatus ursinus (Common wombat)
ENSBGR	Bos grunniens (Domestic yak)
ENSPTX	Pseudonaja textilis (Eastern brown snake)
ENSCLA	Chinchilla lanigera (Long-tailed chinchilla)
ENSCHY	Cervus hanglu yarkandensis (Yarkand deer)
ENSSSC	Sus scrofa (Pig - Tibetan)
ENS	Homo sapiens (Human)
ENSMFA	Macaca fascicularis (Crab-eating macaque)
ENSCCR	Cyprinus carpio (Common carp hebao red)
ENSGAL	Gallus gallus (Chicken)
ENSPSN	Phocoena sinus (Vaquita)
ENSTRU	Takifugu rubripes (Fugu)
ENSTGE	Theropithecus gelada (Gelada)
ENSSSC	Sus scrofa (Pig - Meishan)
ENSZAL	Zonotrichia albicollis (White-throated sparrow)
ENSPFO	Poecilia formosa (Amazon molly)
